Table Description,Source Column Name,CIAI Column Name,Column Description,Data Type,Size,Is Primary Key,,
Alignment,SALESFORCE_ID,SALESFORCE_ID,Abbreviated name of the Salesforce / Team,VARCHAR,50,TRUE,,
Alignment,TERRITORY_ID,TERRITORY_ID,Territory ID (aka GeographyID or Field Force Org ID ff_org_id). This should include all Territory IDs for all Salesforces,VARCHAR,50,TRUE,,
Alignment,IMS_ID,PHYSICIAN_ID,IMS Prescriber ID,VARCHAR,10,TRUE,,
Alignment,HCP_LAST_NAME,PHYSICIAN_LAST_NAME,Customer last name.,VARCHAR,50,FALSE,,
Alignment,HCP_FIRST_NAME,PHYSICIAN_FIRST_NAME,Customer first name.,VARCHAR,50,FALSE,,
Alignment,HCP_ADDRESS_LINE_1,PHYSICIAN_ADDRESS_LINE1,Address Line 1,VARCHAR,100,FALSE,,
Alignment,HCP_ADDRESS_LINE_2,PHYSICIAN_ADDRESS_LINE2,Address Line 2,VARCHAR,100,FALSE,,
Alignment,HCP_ZIP_CODE,PHYSICIAN_ZIP,Zip Code (5 digit zip),VARCHAR,10,FALSE,,
Alignment,HCP_CITY_NAME,PHYSICIAN_CITY_NAME,City Name,VARCHAR,100,FALSE,,
Alignment,HCP_STATE_CODE,PHYSICIAN_STATE,State (Two letter US State code),VARCHAR,2,FALSE,,
Alignment,NATIONAL_SEGMENT,PHYSICIAN_NATIONAL_SEGMENT,National Segment,VARCHAR,100,FALSE,,
Alignment,MARKET_SEGMENT,PHYSICIAN_MARKET_SEGMENT,Market Segment,VARCHAR,100,FALSE,,
Alignment,TERRITORY_SEGMENT,PHYSICIAN_TERRITORY_SEGMENT,Territory Segment,VARCHAR,100,FALSE,,
Veeva call,CALL_ID,CALL_ID,Call ID - unique for every call,VARCHAR,1000,TRUE,,
Veeva call,SYSTEM_MODSTAMP,SYSTEM_MODIFIED_DATE,Date when the record was modified,TIMESTAMP_NTZ,9,FALSE,,
Veeva call,LAST_ACTIVITY_DATE,LAST_ACTIVITY_DATE,Last activity date,DATE,,FALSE,,
Veeva call,ACCOUNT_ID,PROMOTIONAL_ACCOUNT_ID,Lookup to the account that the call is associated with.,VARCHAR,1000,FALSE,,
Veeva call,STATUS,CALL_STATUS,"Status of the call -- Planned, Saved or Submitted. Use the translation workbench to change the display values.  The triggers on call look at this field to see whether the call is locked (submitted). This value is set for the user when the Save or Submit button is pressed.",VARCHAR,1000,FALSE,,
Veeva call,CALL_DATETIME,CALL_DATETIME,"The time when the rep specified for the call unless the call was signed, in which case this is the signature time.  This field is optional for users who which to plan their calls down to a specific hour or minute.  If a datetime is specified, a corresponding salesforce.com event is created via a trigger for calendar integration.",TIMESTAMP_NTZ,9,FALSE,,
Veeva call,TERRITORY,TERRITORY_ID,"The Territory of the User at the time of the Account Call.  If the User and Account are in more than one territory, it uses the first territory from the User that matches a Territory of the Account.  If no match between User and Rep, do not populate the Territory on the Call",VARCHAR,1000,FALSE,,
Veeva call,CALL_TYPE,CALL_TYPE,"Type of call which is system maintained based on the type and contents of the call. This field is used for reporting purposes. Valid values are:  Detail Only, Detail with Sample, Group Detail, Group Detail with Sample, Sample Only. These values should not be changed, but the translations for these picklists may be changed.  Attendees have the same call type as the header call. For a Group call with 3 professionals, all 4 records have the call type of ""Group Detail""",VARCHAR,1000,FALSE,,
Veeva call,ADDRESS,CALL_ADDRESS,A field used to denormalize the address information associated with a call. This aids in data loading and displaying information on related lists.,VARCHAR,1000,FALSE,,
Veeva call,ATTENDEES,CALL_ATTENDEES_PRESENT,"The total number of attendees for this call. For a group call with four doctors, this would be ""3"" for the parent call associated to the parent account and ""0"" for the child calls.  For performance reasons, this is not set via a trigger.",FLOAT,,FALSE,,
